,DGS10_70rsi,DGS10_14rsi,DGS10,DGS10_100ema,DGS10_25ema,DGS10_5ema
1967-01-11,-0.19189311661137878,-0.4073253222724148,-0.19088558894532046,0.09118655566358713,0.034980622122060545,0.018852955299914598
1967-01-12,-0.18632167217750975,-0.3826476122456083,-0.18972619527111148,0.08660104947064129,0.028815816539105255,0.010186969428675585
1967-01-13,-0.20146883530864884,-0.4260050028111991,-0.19436376996794744,0.09383096879268438,0.03352894180001309,0.011307153140467374
1967-01-16,-0.20893861328921545,-0.44692068844448984,-0.19668255731636536,0.09619656516454778,0.03356567379549569,0.008064260758505082
1967-01-17,-0.19757367677034054,-0.3922849508236007,-0.19436376996794744,0.08897702852081779,0.025313035459495703,0.00037830623890067194
1967-01-18,-0.18626031393353373,-0.33788054082766367,-0.1920449826195294,0.08198252571519649,0.01812551664598261,-0.002803845872173749
1967-01-19,-0.15850311498522474,-0.21052855897920097,-0.1862480142484845,0.06827347690173591,0.005736181092130366,-0.008795711831784514
1967-01-20,-0.14760635160001442,-0.16284645412994223,-0.18392922690006658,0.06185680461256737,0.0006572888904101681,-0.007747784875334562
1967-01-23,-0.14760635160001442,-0.16284645412994223,-0.18392922690006658,0.06009967716806974,0.00018846864943600217,-0.003956315681021949
1967-01-24,-0.12048908856894272,-0.04365460740158667,-0.17813225852902156,0.047183208193489534,-0.010089639648992343,-0.008255618406971421
1967-01-25,-0.13295983153661922,-0.1030596961343285,-0.18161043955164854,0.052317110215214235,-0.0036402654572138538,-0.000225682690137452
1967-01-26,-0.18013386235042916,-0.2923994181187547,-0.1955231636421564,0.07811231890761272,0.020657812414593524,0.01672459189046882
1967-01-27,-0.19129333694008252,-0.3304520394381274,-0.1990013446647834,0.08304086240523567,0.024880747093266153,0.014228612021162768
1967-01-30,-0.1858350948768681,-0.30525467690442043,-0.19784195099057433,0.07845960859578183,0.020318309962050085,0.006622376438727207
1967-01-31,-0.16418963837795303,-0.20680010776319505,-0.1932043762937385,0.06706424184723736,0.01002150556739445,-0.0029778131946479602
1967-02-01,-0.16418963837795303,-0.20680010776319505,-0.1932043762937385,0.0652768541827089,0.008745146446172969,-0.003103636287379752
1967-02-02,-0.16809672635790335,-0.22377617022970625,-0.19436376996794744,0.0658253584254409,0.00979045807624046,-0.00048339130526153795
1967-02-03,-0.1625833392787125,-0.19620565683041022,-0.1932043762937385,0.06175803234154165,0.006602691622890289,-0.0012372604118606745
1967-02-06,-0.15704297759071933,-0.16787071579827356,-0.1920449826195294,0.05779983209051487,0.003751643701552565,-0.0017367105029137964
1967-02-07,-0.1514760205486678,-0.13882003961785258,-0.19088558894532046,0.05393458272301843,0.0010249182513830668,-0.002400985447940318
1967-02-08,-0.1514760205486678,-0.13882003961785258,-0.19088558894532046,0.05244334330235567,0.0006547246745887136,-0.0013779568657744656
1967-02-09,-0.15565706851315894,-0.1629675919926018,-0.1920449826195294,0.0532169201994801,0.0023779410651227906,0.0007741962482867848
1967-02-10,-0.12200467972923888,0.015420522210741012,-0.18508862057427555,0.03822257780160543,-0.01003102646511056,-0.0074342533221819496
1967-02-14,-0.09504670489293546,0.13455590347756372,-0.17929165220323062,0.026098742934867802,-0.01928799160080974,-0.010888217028926173
1967-02-15,-0.0689902522745254,0.23432969318539024,-0.1734946838321856,0.014443035593399989,-0.027455394002510958,-0.012671914631311898
